FarmID,Frams Fixed Cost,,,,,
,PondConstruction,Electricity,WaterSupply,Fenching,NetsAndOthers,FarmHouse
F1,1870000,0,0,0,50000,120000
F2,300000,0,0,0,15000,20000
F3,250000,0,0,0,25000,15000
F4,700000,0,0,30000,20000,50000
F5,100000,0,0,0,0,10000
F6,150000,0,0,0,0,30000
F7,100000,0,0,0,0,13000
F8,2000000,100000,50000,0,0,20000
F9,1800000,200000,185000,130000,200000,100000
F10,2300000,300000,200000,100000,300000,150000
F11,750000,0,100000,45000,0,55000
F12,400000,0,50000,0,80000,50000
F13,180000,0,0,0,0,15000
F14,62000,0,0,0,0,10000
F15,30000,0,0,0,0,10000
F16,165000,0,0,0,0,20000
F17,80000,0,0,0,0,12000
F18,87000,0,0,0,0,15000
F19,500000,150000,30000,10000,0,25000
F20,150000,100000,0,0,0,18000
F21,130000,0,0,0,0,20000
F22,2215000,200000,150000,95000,225000,80000
F23,1100000,150000,100000,100000,120000,50000
F24,2150000,200000,150000,83000,175000,65000
F25,10000000,500000,500000,250000,500000,500000
F26,3500000,250000,175000,100000,135000,150000
F27,4250000,275000,200000,100000,150000,185000
F28,7500000,400000,300000,140000,230000,250000
F29,150000,0,0,0,0,18000
F30,220000,0,0,0,0,25000
F31,200000,0,0,0,0,20000
F32,250000,0,0,0,0,30000
F33,300000,0,0,0,0,32000
F34,300000,0,0,0,0,30000
F35,250000,0,0,0,0,25000
F36,200000,0,0,0,0,20000
F37,200000,0,0,0,0,20000
F38,220000,0,0,0,0,28000
F39,400000,100000,20000,0,0,35000
F40,110000,0,0,0,0,15000
F41,150000,0,0,0,0,23000
F42,500000,125000,30000,0,0,45000
F43,135000,0,0,0,0,25000
F44,50000,0,0,0,0,10000
F45,70000,0,0,0,0,12000
F46,100000,0,0,0,0,15000
F47,32000,0,0,0,0,10000
F48,40000,0,0,0,0,15000
F49,180000,0,0,0,0,20000
F50,70000,0,0,0,0,18000
F51,110000,0,0,0,0,20000
F55,,,,,,
F56,,,,,,
F57,,,,,,
F58,,,,,,
F59,,,,,,
F60,,,,,,
F61,,,,,,
F62,,,,,,
F63,,,,,,
