FarmID,FarmSize_Decimal,PondNumber,WaterS_1,WaterS_2,Seed_1,Seed_2,Feed_1,Feed_2,Lab_1,Lab_2,Elec_1,Elec_2,Medic_1,Medic_2,Trans_1,Trans_2
F1,13200,3,0,0,200000,368000,25000,35000,846000,846000,0,0,5000,6000,45000,60000
F2,2310,2,0,0,800000,1100000,0,0,190000,190000,0,0,14000,18000,32000,35000
F3,1320,1,0,0,130000,150000,0,0,204000,198000,0,0,20000,25000,20000,30000
F4,6600,5,0,0,1500000,2500000,500000,500000,405000,306000,0,0,200000,250000,15000,15000
F5,500,2,0,0,225000,225000,33000,40000,31500,0,0,0,8500,10000,16000,23000
F6,531,1,0,0,160000,160000,0,0,33750,0,0,0,5000,8000,10000,12000
F7,396,1,0,0,150000,300000,50000,75000,31500,0,0,0,5000,9500,10000,12000
F8,3960,3,50000,50000,750000,1400000,75000,75000,209000,155000,10000,10000,26750,30000,45000,60000
F9,396,3,150000,200000,120000,140000,300000,360000,200500,200500,150000,180000,100000,130000,10000,12000
F10,528,6,250000,300000,200000,250000,800000,920000,369500,369500,120000,120000,150000,200000,25000,25000
F11,6600,2,0,0,1150000,1500000,0,0,259500,257500,0,0,238000,260000,52000,58000
F12,3300,2,0,0,687000,777000,100000,120000,294750,261000,0,0,50000,62500,45000,50000
F13,495,4,9000,9000,150000,200000,100000,135000,57500,55500,0,0,40000,50000,0,0
F14,100,1,1000,1000,45000,60000,25000,25000,6500,6500,0,0,7000,7000,0,0
F15,33,1,0,0,40000,53000,20000,20000,0,0,0,0,5000,5000,0,0
F16,462,3,12000,12000,140000,200000,245000,290000,103000,103000,0,0,28000,35000,0,0
F17,165,2,0,0,82500,100000,33000,50000,58500,10000,0,0,8250,10000,0,0
F18,165,2,10000,10000,44550,60000,19800,24000,8000,8000,0,0,1650,2000,0,0
F19,1320,1,15000,15000,300000,322000,30000,35000,185500,103500,36000,42000,0,0,25000,30000
F20,297,1,0,0,30000,38000,30000,30000,57000,45000,15000,15000,5000,5000,0,0
F21,198,1,3000,3000,15000,20000,20000,24000,8500,0,0,0,5000,5500,0,0
F22,594,4,224000,300000,522000,750000,900000,1000000,160500,115500,77000,90000,250000,273000,33000,40000
F23,200,3,100000,135000,254000,375000,450000,550000,81750,48750,50000,50000,170000,200000,15000,18000
F24,528,6,160000,185000,306000,400000,3132000,3700000,139750,63750,100000,120000,222000,250000,21000,25000
F25,18525,19,375000,450000,5000000,6200000,20000000,23000000,896250,569250,500000,600000,700000,825000,60000,75000
F26,625,2,136000,145000,600000,800000,2086000,2500000,165000,57500,100000,100000,175000,200000,18000,22500
F27,815,6,150000,165000,590000,733000,3068000,3600000,231000,204000,130000,150000,210000,235000,15000,20000
F28,3952,5,200000,220000,1430000,2030000,13636000,15000000,335500,282000,200000,225000,400000,440000,20000,21000
F29,145,3,0,0,154000,205000,386000,420000,48000,40500,0,0,77000,90000,0,0
F30,238,2,0,0,76000,98000,40000,50000,94000,79500,0,0,18000,20000,0,0
F31,202,2,0,0,64700,82000,54500,60000,38250,29250,0,0,13500,15000,0,0
F32,240,2,0,0,77000,100000,38500,45000,58000,49000,0,0,9250,10000,0,0
F33,312,3,0,0,75000,100000,75000,90000,108000,70000,0,0,30000,32000,0,0
F34,339,2,0,0,118600,140000,339000,400000,46250,16000,0,0,0,0,0,0
F35,260,3,0,0,250000,320000,125000,140000,34500,7500,0,0,0,0,0,0
F36,156,2,0,0,45000,57000,15000,15000,411500,47000,0,0,3000,3000,0,0
F37,150,1,0,0,30000,42000,20000,20000,6000,6500,0,0,5000,5000,0,0
F38,234,4,0,0,46500,58000,36000,36000,62250,53750,0,0,1000,1000,0,0
F39,624,12,0,0,312000,412000,72000,80000,189000,137000,66000,85000,30000,30000,10000,10000
F40,130,1,0,0,20000,30000,0,0,37750,8500,0,0,0,0,0,0
F41,260,3,0,0,100000,122000,80000,100000,87500,87500,0,0,20000,22000,0,0
F42,800,7,0,0,480000,600000,480000,550000,153000,107000,75000,90000,60000,70000,12000,12000
F43,260,1,0,0,50000,62000,30000,30000,76500,67500,0,0,7000,7000,0,0
F44,35,1,0,0,5000,10000,25000,25000,0,0,0,0,500,500,0,0
F45,62,1,0,0,9300,15000,10000,10000,0,0,0,0,500,500,0,0
F46,63,1,0,0,10500,15000,5000,5000,0,0,0,0,1000,1000,0,0
F47,25,1,8000,10000,8000,15500,16800,16800,0,0,0,0,0,0,0,0
F48,48,1,0,0,10000,18000,0,0,0,0,0,0,0,0,0,0
F49,200,2,0,0,25500,40000,32000,32000,29250,29250,0,0,1100,1200,0,0
F50,64,1,0,0,200000,300000,45000,50000,0,0,0,0,10000,11000,0,0
F51,102,2,0,0,24400,40000,51000,60000,6000,0,0,0,10200,10500,0,0
